MemTotal:       23662784 kB
MemFree:         2025128 kB
MemAvailable:   16879536 kB
Buffers:            1352 kB
Cached:         15277504 kB
SwapCached:            0 kB
Active:         12044716 kB
Inactive:        7230236 kB
Active(anon):    4365640 kB
Inactive(anon):        0 kB
Active(file):    7679076 kB
Inactive(file):  7230236 kB
Unevictable:      328076 kB
Mlocked:          164948 kB
SwapTotal:      12582908 kB
SwapFree:       12510204 kB
Dirty:             24784 kB
Writeback:             0 kB
AnonPages:       4323148 kB
Mapped:          3019440 kB
Shmem:            209196 kB
KReclaimable:     226696 kB
Slab:             781416 kB
SReclaimable:     226268 kB
SUnreclaim:       555148 kB
KernelStack:      111984 kB
ShadowCallStack:       0 kB
PageTables:       245872 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    24414300 kB
Committed_AS:   497536192 kB
VmallocTotal:   257687552 kB
VmallocUsed:      341908 kB
VmallocChunk:          0 kB
Percpu:            10784 kB
AnonHugePages:    890880 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:         667648 kB
CmaFree:           88000 kB
