MemTotal:       23662784 kB
MemFree:         2567868 kB
MemAvailable:   16557532 kB
Buffers:            5932 kB
Cached:         14141448 kB
SwapCached:            0 kB
Active:         12294228 kB
Inactive:        6111324 kB
Active(anon):    4628324 kB
Inactive(anon):      392 kB
Active(file):    7665904 kB
Inactive(file):  6110932 kB
Unevictable:      333600 kB
Mlocked:          164948 kB
SwapTotal:      12582908 kB
SwapFree:       12505084 kB
Dirty:             99952 kB
Writeback:             0 kB
AnonPages:       4590684 kB
Mapped:          3237652 kB
Shmem:            215300 kB
KReclaimable:     494428 kB
Slab:             784592 kB
SReclaimable:     227980 kB
SUnreclaim:       556612 kB
KernelStack:      117728 kB
ShadowCallStack:       0 kB
PageTables:       257120 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    24414300 kB
Committed_AS:   524755768 kB
VmallocTotal:   257687552 kB
VmallocUsed:      347780 kB
VmallocChunk:          0 kB
Percpu:            10784 kB
AnonHugePages:    985088 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:         667648 kB
CmaFree:          279748 kB
