MemTotal:       23662784 kB
MemFree:          264256 kB
MemAvailable:   16757212 kB
Buffers:            1204 kB
Cached:         16892216 kB
SwapCached:            0 kB
Active:         12021032 kB
Inactive:        9053520 kB
Active(anon):    4527300 kB
Inactive(anon):        0 kB
Active(file):    7493732 kB
Inactive(file):  9053520 kB
Unevictable:      304472 kB
Mlocked:          164948 kB
SwapTotal:      12582908 kB
SwapFree:       12564988 kB
Dirty:              5212 kB
Writeback:             0 kB
AnonPages:       4468200 kB
Mapped:          3222660 kB
Shmem:            185728 kB
KReclaimable:     227304 kB
Slab:             778948 kB
SReclaimable:     224968 kB
SUnreclaim:       553980 kB
KernelStack:      115792 kB
ShadowCallStack:       0 kB
PageTables:       255392 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    24414300 kB
Committed_AS:   523009928 kB
VmallocTotal:   257687552 kB
VmallocUsed:      345844 kB
VmallocChunk:          0 kB
Percpu:            10688 kB
AnonHugePages:    796672 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:         667648 kB
CmaFree:              24 kB
