MemTotal:       23662784 kB
MemFree:          916980 kB
MemAvailable:   16713392 kB
Buffers:            9464 kB
Cached:         16121244 kB
SwapCached:            0 kB
Active:         12000316 kB
Inactive:        8362784 kB
Active(anon):    4571912 kB
Inactive(anon):        0 kB
Active(file):    7428404 kB
Inactive(file):  8362784 kB
Unevictable:      304472 kB
Mlocked:          164948 kB
SwapTotal:      12582908 kB
SwapFree:       12564988 kB
Dirty:             17300 kB
Writeback:             0 kB
AnonPages:       4519384 kB
Mapped:          3222888 kB
Shmem:            185728 kB
KReclaimable:     286824 kB
Slab:             779728 kB
SReclaimable:     225800 kB
SUnreclaim:       553928 kB
KernelStack:      115872 kB
ShadowCallStack:       0 kB
PageTables:       255452 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    24414300 kB
Committed_AS:   523009860 kB
VmallocTotal:   257687552 kB
VmallocUsed:      345940 kB
VmallocChunk:          0 kB
Percpu:            10688 kB
AnonHugePages:    829440 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:         667648 kB
CmaFree:          185884 kB
