MemTotal:       23662784 kB
MemFree:         2388268 kB
MemAvailable:   16884400 kB
Buffers:            1452 kB
Cached:         14844992 kB
SwapCached:            0 kB
Active:         12183752 kB
Inactive:        6723252 kB
Active(anon):    4416692 kB
Inactive(anon):        0 kB
Active(file):    7767060 kB
Inactive(file):  6723252 kB
Unevictable:      315584 kB
Mlocked:          164948 kB
SwapTotal:      12582908 kB
SwapFree:       12543228 kB
Dirty:             17860 kB
Writeback:             0 kB
AnonPages:       4373184 kB
Mapped:          3105816 kB
Shmem:            196004 kB
KReclaimable:     287420 kB
Slab:             787068 kB
SReclaimable:     232600 kB
SUnreclaim:       554468 kB
KernelStack:      113264 kB
ShadowCallStack:       0 kB
PageTables:       248528 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    24414300 kB
Committed_AS:   502609228 kB
VmallocTotal:   257687552 kB
VmallocUsed:      343132 kB
VmallocChunk:          0 kB
Percpu:            10784 kB
AnonHugePages:    911360 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:         667648 kB
CmaFree:           17040 kB
