MemTotal:       23662784 kB
MemFree:         2277564 kB
MemAvailable:   16892056 kB
Buffers:            5620 kB
Cached:         14800096 kB
SwapCached:            0 kB
Active:         12085976 kB
Inactive:        6755716 kB
Active(anon):    4387468 kB
Inactive(anon):        0 kB
Active(file):    7698508 kB
Inactive(file):  6755716 kB
Unevictable:      314760 kB
Mlocked:          164948 kB
SwapTotal:      12582908 kB
SwapFree:       12543228 kB
Dirty:              4804 kB
Writeback:             0 kB
AnonPages:       4347932 kB
Mapped:          3101100 kB
Shmem:            194664 kB
KReclaimable:     441868 kB
Slab:             789156 kB
SReclaimable:     234428 kB
SUnreclaim:       554728 kB
KernelStack:      112512 kB
ShadowCallStack:       0 kB
PageTables:       247080 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    24414300 kB
Committed_AS:   499418048 kB
VmallocTotal:   257687552 kB
VmallocUsed:      342420 kB
VmallocChunk:          0 kB
Percpu:            10784 kB
AnonHugePages:    929792 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:         667648 kB
CmaFree:          400048 kB
