MemTotal:       23662784 kB
MemFree:         2149784 kB
MemAvailable:   16846656 kB
Buffers:            1340 kB
Cached:         15065892 kB
SwapCached:            0 kB
Active:         12156164 kB
Inactive:        7085060 kB
Active(anon):    4488500 kB
Inactive(anon):        0 kB
Active(file):    7667664 kB
Inactive(file):  7085060 kB
Unevictable:      272236 kB
Mlocked:          164948 kB
SwapTotal:      12582908 kB
SwapFree:       12564732 kB
Dirty:             11232 kB
Writeback:             0 kB
AnonPages:       4446316 kB
Mapped:          3197216 kB
Shmem:            154048 kB
KReclaimable:     225748 kB
Slab:             780796 kB
SReclaimable:     225092 kB
SUnreclaim:       555704 kB
KernelStack:      116880 kB
ShadowCallStack:       0 kB
PageTables:       254060 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    24414300 kB
Committed_AS:   520226532 kB
VmallocTotal:   257687552 kB
VmallocUsed:      346940 kB
VmallocChunk:          0 kB
Percpu:            10784 kB
AnonHugePages:    903168 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:         667648 kB
CmaFree:          119332 kB
