MemTotal:       23662784 kB
MemFree:         1546900 kB
MemAvailable:   16774248 kB
Buffers:            9480 kB
Cached:         15429244 kB
SwapCached:            0 kB
Active:         12225120 kB
Inactive:        7446136 kB
Active(anon):    4543756 kB
Inactive(anon):        0 kB
Active(file):    7681364 kB
Inactive(file):  7446136 kB
Unevictable:      272236 kB
Mlocked:          164948 kB
SwapTotal:      12582908 kB
SwapFree:       12564732 kB
Dirty:             18784 kB
Writeback:             0 kB
AnonPages:       4484128 kB
Mapped:          3200192 kB
Shmem:            154048 kB
KReclaimable:     381448 kB
Slab:             785156 kB
SReclaimable:     229220 kB
SUnreclaim:       555936 kB
KernelStack:      117076 kB
ShadowCallStack:       0 kB
PageTables:       254324 kB
SecPageTables:         0 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    24414300 kB
Committed_AS:   520227236 kB
VmallocTotal:   257687552 kB
VmallocUsed:      347180 kB
VmallocChunk:          0 kB
Percpu:            10784 kB
AnonHugePages:    964608 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:         667648 kB
CmaFree:          236960 kB
